selected_caption,question_answer_pair,answer,full
A snow plow is plowing sand in a desert.,what is the snow plow plowing in the desert?,sand,"['what is the snow plow plowing in the desert?',' plowing sand']"
A life saving buoy is resting at the bottom of the ocean floor.,Where is a life saving buoy located on the ocean floor?,bottom,"['Where is a life saving buoy located on the ocean floor?','bottom']"
A sailboat with knitted sails sailing in rough waters,A boat with crocheted sails travels over what?,rough waters,"['A boat with crocheted sails travels over what?','rough waters']"
A young toddler is doing advanced math equations on a blackboard.,the toddler wrinting advanced math equations on what?,blackboard,"['the toddler wrinting advanced math equations on what?','blackboard']"
Santa Claus is riding with horses,Who is riding on a horse with his elves?,santa,"['Who is riding on a horse with his elves?','santa']"
A pregnant woman is smoking a cigarette.,What is the pregnant woman smoking?,cigarette,"['What is the pregnant woman smoking?','cigarette']"
A grown man has a baby's pacifier in his mouth,what is the color of the pacifier in the grown man mouth?,pink,"['what is the color of the pacifier in the grown man mouth?','pink']"
A bride is wearing a black wedding dress.,Who is wearing a black wedding dress?,bride,"['Who is wearing a black wedding dress?','bride']"
A military tank is painted in pink.,What does the pink tank drive across?,sand,"['What does the pink tank drive across?','sand']"
A woman is riding a sheep.,A brunette female wearing what garment rides on the back of a sheep?,vest rides,"['A brunette female wearing what garment rides on the back of a sheep?','vest rides']"
A coffee cup that is full of holes,A cup has multiple holes on what part of the cup?,sides,"['A cup has multiple holes on what part of the cup?','sides']"
A hieroglyph depicts an ancient Egyptian using a modern computer tablet.,What depicts an ancient Egyptian using a tablet device?,An ancient egypian artifact drawing,"['What depicts an ancient Egyptian using a tablet device?','An ancient egypian artifact drawing']"
"In a boat cabin, a meal setting including glass cups filled with beverages are completely undisturbed as the boats are tossed around stormy seas and large waves.","What, along with drinks, is impervious to rough seas?",A meal,"['What along with drinks is impervious to rough seas?','A meal']"
A gift wrapped junked car.,What kind of car was wrapped as a gift?,junked car,"['What kind of car was wrapped as a gift?','junked car']"
A pillow decorated with metal spikes,what is the color of the pillow that decorated with metal spikes?,blue,"['what is the color of the pillow that decorated with metal spikes?','blue']"
A full grown rooster is hatching from an egg.,What is the color of the tail of the rooster that is hatching from an egg?,blue,"['What is the color of the tail of the rooster that is hatching from an egg?','blue']"
A lit candle is sitting inside a tightly sealed glass jar.,What kind of flame is inside a tightly sealed glass jar?,a steady flame,"['What kind of flame is inside a tightly sealed glass jar?','a steady flame']"
A coal mine worker is working with long acrylic manicured nails,What is the female miner holding up to show long fingernails?,hand,"['What is the female miner holding up to show long fingernails?','hand']"
The plate is served with raw meat.,what is the color of the plate that served raw meat?,white,"['what is the color of the plate that served raw meat?','white']"
Lightning striking a dilapidated shack on a clear sunny day.,What is struck by lightning on a sunny day in the desert?,dilapidated shack,"['What is struck by lightning on a sunny day in the desert?','dilapidated shack']"
The rap artist Tupac Shakur is standing next to a Tesla vehicle and it's charging station.,What is the color of the Tesla that the rap artist Tupac Shakur is standing next to?,red,"['What is the color of the Tesla that the rap artist Tupac Shakur is standing next to?','red']"
A woman's mirror reflection is wearing different clothes.,what is the difference between the woman shirt color and the womans reflection shirt color?,pink flower print vs green dress,"['what is the difference between the woman shirt color and the womans reflection shirt color?','pink flower print vs green dress']"
A woodpecker pecks a hole in a utility pole,What does a woodpecker peck in a utility pole?,hole,"['What does a woodpecker peck in a utility pole?','hole']"
A steam train is on a train track that is twisted like a roller coaster,What kind of tracks is the stream train running on that are twisted like a roller coaster on?,metal tracks,"['What kind of tracks is the stream train running on that are twisted like a roller coaster on?','metal tracks']"
A steaming glass of iced coffee,What is steaming in a glass of iced drink on a wooden table?,hot water,"['What is steaming in a glass of iced drink on a wooden table?','hot water']"
A man standing on the beach vacuuming sand,What color is the shirt of the person vacuuming sand on a beach?,white,"['What color is the shirt of the person vacuuming sand on a beach?','white']"
A white glove has 6 fingers,What has five finger sleeves in addition to a thumb?,A large white glove,"['What has five finger sleeves in addition to a thumb?','A large white glove']"
A phone booth is in the middle of a desert.,In what part of a desert is a phone booth located?,middle,"['In what part of a desert is a phone booth located?','middle']"
A pregnant old lady,what does the pregnant old lady wearing?,glasses and white clothing,"['what does the pregnant old lady wearing?','glasses and white clothing']"
A birds nest holds lemons in it,how many lemons are in the birds nest?,3,"['how many lemons are in the birds nest?','3']"
Pineapple fruit growing out of desert sand.,what tropical plant is growing in the dessert?,pineapple,"['what tropical plant is growing in the dessert?','pineapple']"
"Marilyn Monroe, using an Apple Macbook",What type of apple device is marlyn Monroe using?,apple macbook,"['What type of apple device is marlyn Monroe using?','apple macbook']"
A caveman is watching TV.,whats the caveman watching on tv?,mountains,"['whats the caveman watching on tv?','mountains']"
A piano is shown with the colors of the keys reversed,What color is the piano with the reversed colors of the keys?,brown,"['What color is the piano with the reversed colors of the keys?','brown']"
A bald man is holding a hair comb.,what is the color of the comb in the bald man hands?,black,"['what is the color of the comb in the bald man hands?','black']"
A man in winter garb is skiing down a sand dune in the desert.,A skier is skiing down at what angle in the desert?,a steep angle,"['A skier is skiing down at what angle in the desert?','a steep angle']"
A woman casts a man's shadow.,On what is a woman projecting a man's shadow?,wall,"[""On what is a woman projecting a mans shadow?"",""wall""]"
A cake with onions on top of it,Onions and parsnips are on top of what type of cake?,Cheesecake,"['Onions and parsnips are on top of what type of cake?','Cheesecake']"
Pebbles falling through an hourglass,What kind of rocks are in the time glass?,pebbles,"['What kind of rocks are in the time glass?','pebbles']"
Dr. Evil sits with his dog on his lap,what is the color of the dog that DR. Evil holding?,white,"['what is the color of the dog that DR. Evil holding?','white']"
An owl carries a piece of corn on the cob.,A piece of corn is carried by an owl on what?,cob,"['A piece of corn is carried by an owl on what?','cob']"
An owl is perched upside down on a branch,How many of the owl's wings are open while being upside down?,half,"[""How many of the owls wings are open while being upside down?"",""half""]"
A young boy is smoking.,what is the young boy smoking?,cigar,"['what is the young boy smoking?','cigar']"
a cat is hanging from his tail from a tree in a forest,where does the cat is hanging from his tail?,forest,"['where does the cat is hanging from his tail?','forest']"
Freddie Mercury using a VR Headset,what is the color of the vr headset that freddie mercury using?,white,"['what is the color of the vr headset that freddie mercury using?','white']"
A street light with \ronly green lights,"[""On what part of the street light with only green lights is the light on?"", ""the bottom""]",,"[""On what part of the street light with only green lights is the light on?"", ""the bottom""]"
A rubix cube with ten squares of purple,"[""How many yellow squares can we see in the rubik's cube with the ten squares of purple?"", ""4""]",,"[""How many yellow squares can we see in the rubik's cube with the ten squares of purple?"", ""4""]"
The Statue of Liberty is holding a sword.,"[""What color is the background of the Statue of Liberty holding a sword?"", ""dark grey""]",,"[""What color is the background of the Statue of Liberty holding a sword?"", ""dark grey""]"
A double-decker bus is driving in front of the Eiffel Tower,"[""A double-decker bus drives on what in front of the Eiffel Tower?"", ""a road""]",,"[""A double-decker bus drives on what in front of the Eiffel Tower?"", ""a road""]"
a koala in an asia landscape,"[""Where is the Asian home located in the picture of the koala?"", ""the background""]",,"[""Where is the Asian home located in the picture of the koala?"", ""the background""]"
Vegetables in a gumball machine,"[""What color is the gumball machine that has vegetables?"", ""kind of green""]",,"[""What color is the gumball machine that has vegetables?"", ""kind of green""]"
Superman in a wheelchair,"[""which arm of superman, who is in a wheelchair, is holding the wheel?"", ""left""]",,"[""which arm of superman who is in a wheelchair is holding the wheel?"", ""left""]"
The Aurora Borealis is seen shimmering over Paris.,"[""Which tower is standing under the Aurora Borealis in paris?"", ""the Eiffel Tower""]",,"[""Which tower is standing under the Aurora Borealis in paris?"", ""the Eiffel Tower""]"
The Leaning Tower of Pisa is standing straight,"[""What type of sky is the Leaning Tower of Piza?, which is standing straight, under?"", ""a cloudy sky""]",,"[""What type of sky is the Leaning Tower of Piza which is standing straight is under?"", ""a cloudy sky""]"
Two women in ornate Rennaissance clothing take a selfie with a smartphone,"[""Who is taking a selfie in renaissance garb?"", ""Two women""]",,"[""Who is taking a selfie in renaissance garb?"", ""Two women""]"
A pencil is sticking up from the center of a cake.,"[""A pencil is sticking up from what part of a cake?"", ""the center""]",,"[""A pencil is sticking up from what part of a cake?"", ""the center""]"
A photo of blue Pikachu,"[""Where is the blue Pikachu figure sitting?"", ""the floor""]",,"[""Where is the blue Pikachu figure sitting?"", ""the floor""]"
A turtle standing in a snowy environment,"[""What does the turtle in the snow have on its back?"", ""snow""]",,"[""What does the turtle in the snow have on its back?"", ""snow""]"
A watermelon is shaped like a cube,"[""What does the watermelon shaped like a cube have on its middle top?"", ""a red hole""]",,"[""What does the watermelon shaped like a cube have on its middle top?"", ""a red hole""]"
A chicken flies high in the sky,"[""How many legs does the chicken flying high in the sky have?"", ""two""]",,"[""How many legs does the chicken flying high in the sky have?"", ""two""]"
Person roller skating downhill a sand dune,"[""A person is rollerskating down what part of a sand dune?"", ""the slope""]",,"[""A person is rollerskating down what part of a sand dune?"", ""the slope""]"
A person wearing ice skates on a wood floor,"[""On the wood floor, on what part of their skates does an ice skater stand?"", ""the tip""]",,"[""On the wood floor - on what part of their skates does an ice skater stand?"", ""the tip""]"
A soccer player is about to kick a bowling ball,"[""Where is the soccer player kicking a bowling ball located?"", ""a sports field""]",,"[""Where is the soccer player kicking a bowling ball located?"", ""a sports field""]"
Charlie Chaplin is holding a digital carema on a selfi stick.,"[""What color is the camera on Charlie Chaplin's selfie stick?"", ""a blue camera""]",,"[""What color is the camera on Charlie Chaplin's selfie stick?"", ""a blue camera""]"
A ball of yarn knocks down bowling pins.,"[""What kind of ball of yarn rolls down a bowling alley?"", ""A blue and white ball""],",,"[""What kind of ball of yarn rolls down a bowling alley?"", ""A blue and white ball""]"
A woman is using an umbrella made of fishnet in the rain.,"[""A woman holds an umbrella made of a fishing net above what?"", ""her head""]",,"[""A woman holds an umbrella made of a fishing net above what?"", ""her head""]"
a coocoo clock with a horse popping out,"[""What part of a white horse sticks out of a cuckoo clock's window?"", ""The head""]",,"[""What part of a white horse sticks out of a cuckoo clock's window?"", ""The head""]"
A man is sitting down to a bowl of soup with a fork.,"[""What size bowl of soup has a fork in it and is sitting on a table?"", ""A half full bowl""]",,"[""What size bowl of soup has a fork in it and is sitting on a table?"", ""A half full bowl""]"
A soccer ball is being shot into a basketball hoop,"[""What is the color of the soccer ball that is being shot into the basketball hoop?"", Black and white""]",,"[""What is the color of the soccer ball that is being shot into the basketball hoop?"", ""Black and white""]"
A waffle ice cream cone is topped with a large ice cube.,"[""Does the ice cream cone have any topping other than an ice cube?"", ""No""]",,"[""Does the ice cream cone have any topping other than an ice cube?"", ""No""]"
A plate of spaghetti is served with a spoon,"[""What color is the plate on which the spaghetti with the spoon is served?"", ""a black plate""]",,"[""What color is the plate on which the spaghetti with the spoon is served?"", ""a black plate""]"
car with the steering wheel right in the middle of the dash board,"[""What kind of car has a centred steering wheel?"", ""A vintage car""]",,"[""What kind of car has a centred steering wheel?"", ""A vintage car""]"
A fortune teller predicts the future with a basketball.,"[""What does a clairvoyant predict with a basketball?"", ""the future""]",,"[""What does a clairvoyant predict with a basketball?"", ""the future""]"
Albert Einstein is holding a smartphone.,"[""Einstein is holding a smart phone and what other item?"", ""stylus""]",,"[""Einstein is holding a smart phone and what other item?"", ""stylus""]"
A green stop sign on a pole.,"[""A green stop sign stands next to what?"", ""a road""]",,"[""A green stop sign stands next to what?"", ""a road""]"
A bride holds a bouquet of thorns.,"[""Besides dead flowers, what else is in the bride's bouquet?"", ""sticks""]",,"[""Besides dead flowers what else is in the bride's bouquet?"", ""sticks""]"
A man rests his head on a stone pillow,"[""What is the man sleeping on the boulder covered with?"", ""a grey blanket""]",,"[""What is the man sleeping on the boulder covered with?"", ""a grey blanket""]"
Ayatollah Ali Khamenei holding an israeli flag,"[""What is behind Ayatollah Ali Khamenei while holding an israeli flag?"", ""trees and fence""]",,"[""What is behind Ayatollah Ali Khamenei while holding an israeli flag?"", ""trees and fence""]"
A crocodile is walking on a frozen lake.,"[""What does a crocodile do on a frozen lake?"", ""standing with his mouth open""]",,"[""What does a crocodile do on a frozen lake?"", ""standing with his mouth open""]"
A moose standing in the shallow end of a body of water in a tropical climate.,"[""In a tropical climate, in what part of the water is the moose standing?"", ""the shallow end""]",,"[""In a tropical climate in what part of the water is the moose standing?"", ""the shallow end""]"
A kiwi bird in a green bamboo forest,"[""What does the kiwi bird do in the bamboo forest?"", ""standing""]",,"[""What does the kiwi bird do in the bamboo forest?"", ""standing""]"
The Great Sphinx of Giza is shown covered in snow.,"[""What else, besides the Pyramids of Egypt, is covered in snow?"", ""The Great Sphinx""]",,"[""What else besides the Pyramids of Egypt is covered in snow?"", ""The Great Sphinx""]"
Cristiano Ronaldo holding the FIFA World Cup trophy,"[""What colors is the FIFA World Cup trophy that Cristiano Ronaldo is holding?"", ""Gold and black""]",,"[""What colors is the FIFA World Cup trophy that Cristiano Ronaldo is holding?"", ""Gold and black""]"
A polar bear is walking in the desert.,"[""What does the polar bear do in the desert?"", ""walking""]",,"[""What does the polar bear do in the desert?"", ""walking""]"
A hippo is swimming in a freezing environment.,"[""What does the hippo do in the freezing water?"", ""swimming""]",,"[""What does the hippo do in the freezing water?"", ""swimming""]"
This image features Little Red Riding hood staring into the eyes of a fox,"[""What part of the fox is Little Red Riding Hood staring at?"", ""the eyes""]",,"[""What part of the fox is Little Red Riding Hood staring at?"", ""the eyes""]"
President Obama and President Lincoln are shaking hands.,"[""In what building did Obama and Lincoln meet?"", ""the white house""]",,"[""In what building did Obama and Lincoln meet?"", ""the white house""]"
kanye west in a hat and beard with religious jewish clothing and features,"[""Which religious jewish clothes and features does Kanye West wearing?"", A hat and a beard""]",,"[""Which religious jewish clothes and features does Kanye West wearing?"", ""A hat and a beard""]"
Penguins fly over an an artic environment.,"[""How many penguins are flying above the water?"", ""Five""]",,"[""How many penguins are flying above the water?"", ""Five""]"
Two walruses are swimming in the jungle.,"[""How many walruses swim in a body of water located in a warm climate?"", ""2""]",,"[""How many walruses swim in a body of water located in a warm climate?"", ""2""]"
A panda bear is catching trout in a stream,"[""Where is the panda bear catching trout?"", ""a stream""]",,"[""Where is the panda bear catching trout?"", ""a stream""]"
A orchid flower grows in the desert.,"[""What color is the orchid flower growing in the desert?"", ""White""]",,"[""What color is the orchid flower growing in the desert?"", ""White""]"
A butterfly swimming under the ocean,"[""What is in the background of the butterfly swimming in the sea?"", ""coral reefs""]",,"[""What is in the background of the butterfly swimming in the sea?"", ""coral reefs""]"
An ostrich is on a wire,"[""On how many legs does the Ostrich on the wire?"", ""2""]",,"[""On how many legs does the Ostrich on the wire?"", ""2""]"
A camel with three humps is standing in the desert,"[""Where is the camel with three humps standing?"", ""In the desert""]",,"[""Where is the camel with three humps standing?"", ""In the desert""]"
A whale shark jumping out of the water,"[""A whale shark is jumping out of the water with a flipper on what part of its body?"", ""its head""]",,"[""A whale shark is jumping out of the water with a flipper on what part of its body?"", ""its head""]"
Slash is playing a saxophone.,"[""What does Slash do with a saxophone?"", ""playing""]",,"[""What does Slash do with a saxophone?"", ""playing""]"
A tiger is starting at zebras in the savanna,"[""What are the tiger and the zebras do in the savanna?"",""The tiger staring at zebras""]",,"[""What are the tiger and the zebras do in the savanna?"",""The tiger staring at zebras""]"
Princess Diana reading a paper with a picture from Frozen,"[""Which Frozen character is on the newspaper held by Princess Diana?"", ""Elsa""]",,"[""Which Frozen character is on the newspaper held by Princess Diana?"", ""Elsa""]"
Steve Jobs is wearing an Apple Watch.,"[""Where was Steve Jobs wearing an Apple Watch?"", ""his left wrist""]]",,"[""Where was Steve Jobs wearing an Apple Watch?"", ""his left wrist""]"
JImi Hendrix plays for a crowd in front of the Twin Towers.,"[""What is Jimmy Hendrix do in front of the twin towers?"", ""playing a concert""]",,"[""What is Jimmy Hendrix do in front of the twin towers?"", ""playing a concert""]"
,,,"[""ignore the image and answer: not valid"", ""not valid""]"
